sample	celltype	condition	sra	species	endedness
SRR2297298	ES	H3K4me3-100k	1	mm10	se
SRR2297299	ES	H3K4me3-100k	1	mm10	se
SRR2297300	ES	H3K4me3-10k	1	mm10	se
SRR2297301	ES	H3K4me3-10k	1	mm10	se
SRR2297302	ES	H3K4me3-1k	1	mm10	se
SRR2297303	ES	H3K4me3-1k	1	mm10	se
SRR2297304	ES	H3K4me3-1k	1	mm10	se
SRR2297305	ES	H3K4me3-1k	1	mm10	se
SRR2297306	ES	H3K4me3-1k	1	mm10	se
SRR2297307	ES	H3K4me3-500	1	mm10	se
SRR2297308	ES	H3K4me3-500	1	mm10	se
SRR2297309	ES	H3K4me3-500	1	mm10	se
SRR2297318	ES	input	1	mm10	se
SRR2297319	ES	input	1	mm10	se
